# Easting [m] 	 Northing [m] 	 Period [s] 	 Phase velocity [m/s] 	 Differenz [m/s] 	 Anzahl Iterationen
-122	49	0.1	3235.14	6.28841e-05	20
-122	49	5	3280.32	1.02818e-06	10
-122	49	10	3302.08	3.46131e-06	10
-122	49	20	3511.31	9.70404e-08	7
-122	49	40	3836.71	9.29463e-05	3
-121	38	0.1	3046.14	6.61819e-05	23
-121	38	5	3064.47	1.36424e-12	12
-121	38	10	3212.33	1.6772e-08	9
-121	38	20	3673.48	1.07798e-08	7
-121	38	40	3814.85	1.21372e-09	9
-121	39	0.1	3173.52	9.22115e-05	23
-121	39	5	3184.57	6.4449e-05	14
-121	39	10	3237.61	1.81899e-12	6
-121	39	20	3571.39	8.6655e-05	7
-121	39	40	3772.77	3.18323e-12	10
-121	40	0.1	3088.76	5.4236e-05	23
-121	40	5	3165.67	8.13998e-11	5
-121	40	10	3248.28	7.27596e-12	12
-121	40	20	3513.59	1.77167e-06	6
-121	40	40	3779.86	1.3506e-10	6
-121	41	0.1	3192.83	7.65602e-05	23
-121	41	5	3241.58	7.09913e-05	8
-121	41	10	3273.2	1.36424e-12	7
-121	41	20	3457.03	5.07235e-05	8
-121	41	40	3758.83	8.18545e-11	6
-121	42	0.1	3174.55	5.22167e-05	25
-121	42	5	3194.94	1.36424e-12	13
-121	42	10	3223.19	2.27374e-12	10
-121	42	20	3435.28	1.36424e-12	5
-121	42	40	3738.16	1.81899e-12	9
-121	43	0.1	3087.22	5.52023e-05	23
-121	43	5	3125.21	2.28883e-08	4
-121	43	10	3191.51	2.26109e-08	7
-121	43	20	3429.48	9.036e-05	8
-121	43	40	3740.09	9.09495e-12	5
-121	44	0.1	3055.94	3.85937e-05	24
-121	44	5	3101.32	1.30144e-08	7
-121	44	10	3208.9	7.15127e-05	11
-121	44	20	3460.65	5.45554e-07	7
-121	44	40	3737.12	4.54747e-12	7
-121	45	0.1	2914.73	9.55146e-05	24
-121	45	5	3032.41	6.08452e-10	6
-121	45	10	3240.74	1.37111e-08	9
-121	45	20	3502.62	1.8676e-08	7
-121	45	40	3781.51	2.62334e-06	6
-121	46	0.1	2704.32	8.88914e-05	24
-121	46	5	2887.97	7.9979e-05	7
-121	46	10	3236.95	6.59542e-07	7
-121	46	20	3542.5	2.96621e-05	4
-121	46	40	3818.24	1.81899e-12	10
-121	47	0.1	2828.23	8.21785e-05	23
-121	47	5	3004.45	1.36424e-12	9
-121	47	10	3267.31	2.06197e-07	4
-121	47	20	3554.33	2.06663e-05	7
-121	47	40	3829.51	4.54747e-12	10
-121	48	0.1	3084.05	5.41533e-05	23
-121	48	5	3187.11	8.63714e-05	6
-121	48	10	3298.1	5.8435e-10	9
-121	48	20	3558.24	1.45792e-09	4
-121	48	40	3829.68	1.57429e-07	5
-121	49	0.1	3274.62	5.154e-05	22
-121	49	5	3306.98	6.3701e-09	13
-121	49	10	3321.74	6.01995e-09	13
-121	49	20	3533.97	6.66454e-07	7
-121	49	40	3832.4	1.6998e-08	7
-120	38	0.1	3150.26	6.30821e-05	23
-120	38	5	3160.03	1.66806e-08	13
-120	38	10	3225.33	1.36424e-12	6
-120	38	20	3575.74	7.19248e-07	7
-120	38	40	3775	9.54969e-12	10
-120	39	0.1	3202.1	7.82112e-05	23
-120	39	5	3205.02	1.15059e-06	15
-120	39	10	3241.44	1.38741e-07	7
-120	39	20	3549.87	9.12144e-05	7
-120	39	40	3761.53	1.56922e-06	9
-120	40	0.1	3237.55	5.79754e-05	22
-120	40	5	3235.52	1.85835e-06	13
-120	40	10	3258.65	1.81899e-12	7
-120	40	20	3525.82	7.2453e-05	8
-120	40	40	3753.64	5.59339e-11	9
-120	41	0.1	3235.18	5.62258e-05	22
-120	41	5	3228.57	2.27374e-12	13
-120	41	10	3241.43	4.08905e-07	5
-120	41	20	3470.79	9.1859e-11	6
-120	41	40	3709.31	3.50155e-11	10
-120	42	0.1	3153.02	7.92494e-05	22
-120	42	5	3154.96	7.67224e-06	15
-120	42	10	3186.08	1.36424e-12	6
-120	42	20	3457.04	7.0977e-09	5
-120	42	40	3682.21	1.81899e-12	9
-120	43	0.1	3074.52	5.38809e-05	23
